name,server_id,time_ordered,is_served,price
Fountain Drink,4,2022-10-28 12:34:17,true,2.45
Aggie Shakes,1,2022-10-28 22:34:57,true,4.49
Fountain Drink,4,2022-10-28 16:04:28,false,2.45
Cookie Sandwich,3,2022-10-28 22:37:51,true,4.69
Chicken Sandwich,3,2022-10-28 09:01:15,false,7.49
Chicken Sandwich,5,2022-10-28 15:39:55,true,7.49
Gig Em Patty Melt,3,2022-10-28 18:41:54,true,4.49
Gig Em Patty Melt,1,2022-10-28 08:12:57,true,4.69
Caesar Salad,3,2022-10-28 09:41:54,false,8.29
French Fries,1,2022-10-28 20:46:02,true,2.69
Classic Hamburger,5,2022-10-28 19:07:36,false,6.49
Chicken Tenders,5,2022-10-28 21:42:52,true,7.49
Gig Em Patty Melt,4,2022-10-28 12:14:04,true,7.09
Gig Em Patty Melt,2,2022-10-28 17:05:05,true,7.09
Ice Cream Cup,3,2022-10-28 10:25:37,false,3.29
Bacon Burger,2,2022-10-28 23:57:36,true,7.89
Bacon Burger,4,2022-10-28 04:19:59,false,7.89
Bacon Burger,1,2022-10-28 19:56:28,false,7.89
Fountain Drink,4,2022-10-28 21:32:21,false,2.45
Cookie Sandwich,1,2022-10-28 16:18:03,false,4.69
Chicken Tenders,4,2022-10-28 02:56:54,false,7.49
Caesar Salad,3,2022-10-28 16:34:50,false,8.29
Caesar Salad,4,2022-10-28 05:09:53,false,8.29
Caesar Salad,1,2022-10-28 02:01:14,false,8.29
Fountain Drink,3,2022-10-28 17:49:59,false,2.45
Ice Cream Cup,3,2022-10-28 08:25:52,true,3.29
Chicken Tenders,5,2022-10-28 03:53:52,true,7.49
Caesar Salad,4,2022-10-28 19:07:14,true,8.29
Fountain Drink,1,2022-10-28 16:31:40,true,2.45
Aggie Shakes,5,2022-10-28 00:15:36,true,4.49
Gig Em Patty Melt,5,2022-10-28 07:56:16,true,6.49
Chicken Sandwich,1,2022-10-28 19:04:41,true,7.49
French Fries,4,2022-10-28 13:25:52,false,2.69
Black Bean Burger,3,2022-10-28 21:25:38,true,7.29
Gig Em Patty Melt,1,2022-10-28 18:20:20,true,4.49
Ice Cream Cup,2,2022-10-28 16:36:53,true,3.29
Caesar Salad,2,2022-10-28 01:12:02,false,8.29
Cookie Sandwich,5,2022-10-28 13:02:30,true,4.69
Ice Cream Cup,1,2022-10-28 07:18:02,true,3.29
Chicken Sandwich,1,2022-10-28 05:02:56,true,7.49
Black Bean Burger,4,2022-10-28 04:51:44,true,7.29
Fountain Drink,5,2022-10-28 03:34:01,true,2.45
Cookie Sandwich,1,2022-10-28 21:26:55,true,4.69
Chicken Tenders,1,2022-10-28 05:25:43,true,7.49
Caesar Salad,1,2022-10-28 09:51:39,false,8.29
Bacon Burger,5,2022-10-28 21:59:00,false,7.89
Gig Em Patty Melt,3,2022-10-28 05:36:37,true,6.49
Classic Hamburger,1,2022-10-28 19:46:01,false,6.49
Ice Cream Cup,2,2022-10-28 20:04:05,false,3.29
Bacon Burger,4,2022-10-28 04:32:25,true,7.89
Cookie Sandwich,5,2022-10-28 06:49:17,false,4.69
Aggie Shakes,4,2022-10-28 19:47:50,true,4.49
Ice Cream Cup,3,2022-10-28 01:41:22,false,3.29
Black Bean Burger,4,2022-10-28 01:54:03,true,7.29
Chicken Sandwich,3,2022-10-28 11:31:26,false,7.49
Ice Cream Cup,3,2022-10-28 14:19:25,true,3.29
Caesar Salad,1,2022-10-28 19:44:33,false,8.29
Bacon Burger,1,2022-10-28 07:00:38,false,7.89
Black Bean Burger,2,2022-10-28 14:29:44,false,7.29
Chicken Tenders,4,2022-10-28 07:22:51,true,7.49
Fountain Drink,2,2022-10-28 19:00:13,false,2.45
Chicken Sandwich,3,2022-10-28 22:56:41,true,7.49
Chicken Sandwich,5,2022-10-28 18:15:09,true,7.49
Classic Hamburger,4,2022-10-28 11:48:05,false,6.49
Black Bean Burger,3,2022-10-28 11:12:54,true,7.29
Aggie Shakes,4,2022-10-28 17:42:32,true,4.49
Bacon Burger,2,2022-10-28 15:23:51,false,7.89
Classic Hamburger,3,2022-10-28 23:46:36,false,6.49
Fountain Drink,5,2022-10-28 18:50:49,true,2.45
Ice Cream Cup,2,2022-10-28 07:01:44,false,3.29
Aggie Shakes,2,2022-10-28 06:27:22,true,4.49
Bacon Burger,4,2022-10-28 20:30:41,false,7.89
Gig Em Patty Melt,2,2022-10-28 21:25:12,true,2.69
Ice Cream Cup,1,2022-10-28 19:48:28,true,3.29
Classic Hamburger,3,2022-10-28 20:04:25,false,6.49
Black Bean Burger,4,2022-10-28 17:13:54,false,7.29
Chicken Tenders,4,2022-10-28 14:16:42,true,7.49
Chicken Sandwich,4,2022-10-28 09:39:45,false,7.49
Gig Em Patty Melt,2,2022-10-28 06:05:17,false,7.29
Gig Em Patty Melt,3,2022-10-28 11:35:23,false,4.49
French Fries,1,2022-10-28 03:45:30,true,2.69
Fountain Drink,5,2022-10-28 00:34:50,false,2.45
Classic Hamburger,4,2022-10-28 18:40:52,false,6.49
Fountain Drink,4,2022-10-28 07:44:04,true,2.45
Chicken Tenders,2,2022-10-28 14:52:59,false,7.49
Classic Hamburger,4,2022-10-28 13:19:22,true,6.49
Bacon Burger,4,2022-10-28 22:10:55,false,7.89
Ice Cream Cup,4,2022-10-28 08:21:53,true,3.29
Caesar Salad,2,2022-10-28 04:31:27,true,8.29
Black Bean Burger,4,2022-10-28 10:43:43,false,7.29
Ice Cream Cup,1,2022-10-28 12:19:06,false,3.29
Fountain Drink,4,2022-10-28 11:16:23,false,2.45
Ice Cream Cup,5,2022-10-28 16:55:38,false,3.29
Black Bean Burger,2,2022-10-28 21:08:54,true,7.29
Bacon Burger,4,2022-10-28 08:19:22,true,7.89
Gig Em Patty Melt,4,2022-10-28 04:16:05,false,4.49
French Fries,1,2022-10-28 15:57:32,true,2.69
Cookie Sandwich,1,2022-10-28 14:17:25,true,4.69
Bacon Burger,4,2022-10-28 06:48:14,true,7.89
Chicken Tenders,2,2022-10-28 05:27:49,true,7.49
Ice Cream Cup,3,2022-10-28 10:52:33,true,3.29
Classic Hamburger,1,2022-10-28 23:02:16,false,6.49
Classic Hamburger,2,2022-10-28 03:18:13,false,6.49
Black Bean Burger,2,2022-10-28 14:23:11,true,7.29
Fountain Drink,5,2022-10-28 21:02:44,false,2.45
Aggie Shakes,5,2022-10-28 08:34:06,false,4.49
Black Bean Burger,5,2022-10-28 21:19:21,false,7.29
Chicken Sandwich,1,2022-10-28 01:16:12,false,7.49
Ice Cream Cup,1,2022-10-28 07:00:51,true,3.29
Fountain Drink,2,2022-10-28 04:56:50,false,2.45
French Fries,5,2022-10-28 02:45:42,true,2.69
Chicken Sandwich,4,2022-10-28 22:57:44,false,7.49
Caesar Salad,4,2022-10-28 01:57:39,false,8.29
Ice Cream Cup,2,2022-10-28 09:10:51,false,3.29
Gig Em Patty Melt,5,2022-10-28 14:23:08,false,7.89
Fountain Drink,5,2022-10-28 15:38:00,true,2.45
Cookie Sandwich,1,2022-10-28 14:41:53,true,4.69
Cookie Sandwich,2,2022-10-28 20:13:38,false,4.69
French Fries,5,2022-10-28 09:21:00,true,2.69
Fountain Drink,1,2022-10-28 09:13:16,false,2.45
Cookie Sandwich,3,2022-10-28 03:38:22,true,4.69
Fountain Drink,4,2022-10-28 20:29:55,true,2.45
Aggie Shakes,5,2022-10-28 19:40:00,true,4.49
Bacon Burger,1,2022-10-28 03:59:38,true,7.89
French Fries,1,2022-10-28 14:13:27,false,2.69
Classic Hamburger,1,2022-10-28 09:18:42,false,6.49
Caesar Salad,1,2022-10-28 09:59:05,false,8.29
Chicken Tenders,5,2022-10-28 21:29:45,false,7.49
Chicken Tenders,3,2022-10-28 14:19:38,false,7.49
Fountain Drink,4,2022-10-28 07:46:05,true,2.45
Aggie Shakes,5,2022-10-28 07:16:27,true,4.49
Cookie Sandwich,2,2022-10-28 09:50:42,true,4.69
French Fries,3,2022-10-28 22:14:09,false,2.69
Chicken Tenders,2,2022-10-28 21:20:08,true,7.49
French Fries,1,2022-10-28 06:18:28,false,2.69
Gig Em Patty Melt,2,2022-10-28 06:35:34,false,4.49
French Fries,3,2022-10-28 20:07:45,false,2.69
Bacon Burger,3,2022-10-28 02:52:16,false,7.89
Chicken Tenders,3,2022-10-28 11:05:26,true,7.49
Classic Hamburger,5,2022-10-28 23:27:20,true,6.49
Aggie Shakes,2,2022-10-28 13:18:08,false,4.49
Classic Hamburger,1,2022-10-28 18:31:32,false,6.49
Black Bean Burger,4,2022-10-28 01:47:15,true,7.29
Cookie Sandwich,5,2022-10-28 10:34:54,true,4.69
French Fries,5,2022-10-28 21:21:22,false,2.69
Fountain Drink,2,2022-10-28 12:54:52,false,2.45
Caesar Salad,4,2022-10-28 00:41:49,true,8.29
Fountain Drink,1,2022-10-28 22:50:36,true,2.45
Black Bean Burger,5,2022-10-28 20:46:39,true,7.29
Classic Hamburger,3,2022-10-28 15:11:23,true,6.49
Chicken Sandwich,1,2022-10-28 17:07:51,true,7.49
Aggie Shakes,3,2022-10-28 11:00:38,false,4.49
Classic Hamburger,2,2022-10-28 06:57:06,true,6.49
Chicken Sandwich,4,2022-10-28 23:24:04,true,7.49
Cookie Sandwich,3,2022-10-28 16:41:49,false,4.69
Classic Hamburger,4,2022-10-28 21:03:41,false,6.49
Fountain Drink,2,2022-10-28 06:14:38,true,2.45
Fountain Drink,5,2022-10-28 07:03:08,false,2.45
Caesar Salad,2,2022-10-28 18:58:17,true,8.29
Cookie Sandwich,3,2022-10-28 07:00:18,false,4.69
Bacon Burger,1,2022-10-28 08:32:00,false,7.89
Black Bean Burger,4,2022-10-28 09:06:24,true,7.29
Cookie Sandwich,5,2022-10-28 23:52:59,false,4.69
Caesar Salad,2,2022-10-28 05:50:46,false,8.29
Aggie Shakes,2,2022-10-28 15:23:53,false,4.49
Caesar Salad,5,2022-10-28 14:18:28,true,8.29
Aggie Shakes,3,2022-10-28 12:45:19,false,4.49
Black Bean Burger,1,2022-10-28 10:57:02,true,7.29
Bacon Burger,3,2022-10-28 03:37:06,true,7.89
Chicken Sandwich,4,2022-10-28 19:13:31,true,7.49
Classic Hamburger,3,2022-10-28 05:05:07,false,6.49
Chicken Sandwich,3,2022-10-28 18:44:00,true,7.49
Aggie Shakes,5,2022-10-28 05:06:59,true,4.49
Caesar Salad,1,2022-10-28 02:35:22,true,8.29
Aggie Shakes,3,2022-10-28 15:01:48,false,4.49
Classic Hamburger,1,2022-10-28 14:36:10,true,6.49
Gig Em Patty Melt,3,2022-10-28 12:35:42,false,3.29
Bacon Burger,1,2022-10-28 06:56:54,false,7.89
Classic Hamburger,5,2022-10-28 18:24:36,true,6.49
Classic Hamburger,3,2022-10-28 19:01:12,false,6.49
Caesar Salad,5,2022-10-28 02:19:38,true,8.29
Gig Em Patty Melt,5,2022-10-28 17:04:04,false,4.69
Black Bean Burger,2,2022-10-28 16:19:20,false,7.29
Cookie Sandwich,4,2022-10-28 08:18:15,true,4.69
French Fries,4,2022-10-28 05:40:58,false,2.69
Caesar Salad,5,2022-10-28 12:08:36,true,8.29
Aggie Shakes,4,2022-10-28 19:10:07,true,4.49
Black Bean Burger,1,2022-10-28 16:57:03,false,7.29
Black Bean Burger,4,2022-10-28 13:00:26,true,7.29
Gig Em Patty Melt,5,2022-10-28 01:42:59,false,7.49
Ice Cream Cup,2,2022-10-28 07:08:02,true,3.29
Aggie Shakes,5,2022-10-28 18:33:29,false,4.49
Caesar Salad,5,2022-10-28 12:26:47,true,8.29
Caesar Salad,4,2022-10-28 13:19:56,true,8.29
Gig Em Patty Melt,1,2022-10-28 22:37:43,false,7.09
Classic Hamburger,1,2022-10-28 05:53:13,true,6.49
Ice Cream Cup,4,2022-10-28 09:33:24,true,3.29
Classic Hamburger,2,2022-10-28 18:07:29,true,6.49
Chicken Sandwich,2,2022-10-28 10:15:26,false,7.49
French Fries,2,2022-10-28 02:05:30,false,2.69
Aggie Shakes,4,2022-10-28 21:39:13,true,4.49
Gig Em Patty Melt,5,2022-10-28 01:02:57,true,7.49
Cookie Sandwich,3,2022-10-28 08:13:03,true,4.69
Bacon Burger,4,2022-10-28 08:55:39,false,7.89
Chicken Tenders,1,2022-10-28 03:15:35,true,7.49
Caesar Salad,1,2022-10-28 16:52:23,true,8.29
French Fries,1,2022-10-28 17:15:16,false,2.69
Cookie Sandwich,5,2022-10-28 10:07:58,false,4.69
Fountain Drink,4,2022-10-28 22:44:01,true,2.45
Black Bean Burger,4,2022-10-28 20:02:16,true,7.29
Gig Em Patty Melt,1,2022-10-28 22:26:08,true,6.49
Caesar Salad,2,2022-10-28 06:27:44,false,8.29
Caesar Salad,3,2022-10-28 22:37:07,true,8.29
Aggie Shakes,3,2022-10-28 05:53:07,false,4.49
Bacon Burger,2,2022-10-28 22:49:14,false,7.89
French Fries,5,2022-10-28 09:01:42,true,2.69
Chicken Tenders,1,2022-10-28 15:06:18,true,7.49
French Fries,5,2022-10-28 01:59:46,false,2.69
Bacon Burger,5,2022-10-28 07:48:04,true,7.89
Cookie Sandwich,4,2022-10-28 20:37:27,false,4.69
Caesar Salad,2,2022-10-28 21:17:16,false,8.29
Black Bean Burger,5,2022-10-28 02:01:28,false,7.29
Cookie Sandwich,2,2022-10-28 08:28:58,false,4.69
French Fries,5,2022-10-28 19:44:41,false,2.69
Chicken Sandwich,5,2022-10-28 13:22:52,false,7.49
Caesar Salad,5,2022-10-28 08:20:55,true,8.29
Ice Cream Cup,3,2022-10-28 21:55:17,false,3.29
Chicken Sandwich,5,2022-10-28 19:12:40,false,7.49
Chicken Tenders,1,2022-10-28 05:27:20,false,7.49
Chicken Tenders,3,2022-10-28 00:56:22,false,7.49
Ice Cream Cup,4,2022-10-28 07:25:15,true,3.29
Black Bean Burger,1,2022-10-28 20:19:53,false,7.29
Gig Em Patty Melt,1,2022-10-28 13:08:29,true,6.49
Black Bean Burger,3,2022-10-28 08:42:07,true,7.29
Chicken Sandwich,3,2022-10-28 06:35:31,true,7.49
Ice Cream Cup,5,2022-10-28 10:51:31,false,3.29
Caesar Salad,3,2022-10-28 13:32:01,false,8.29
Fountain Drink,4,2022-10-28 15:24:09,true,2.45
French Fries,1,2022-10-28 10:08:32,false,2.69
Chicken Tenders,3,2022-10-28 01:32:16,false,7.49
French Fries,3,2022-10-28 13:00:12,true,2.69
Bacon Burger,2,2022-10-28 21:09:19,true,7.89
Black Bean Burger,1,2022-10-28 00:13:15,true,7.29
Caesar Salad,2,2022-10-28 01:42:49,true,8.29
Gig Em Patty Melt,4,2022-10-28 05:26:17,false,8.29
Fountain Drink,2,2022-10-28 03:15:39,false,2.45
Fountain Drink,5,2022-10-28 23:05:24,false,2.45
Caesar Salad,3,2022-10-28 12:36:57,true,8.29
Bacon Burger,4,2022-10-28 23:34:11,false,7.89
Classic Hamburger,4,2022-10-28 04:28:56,true,6.49
Fountain Drink,5,2022-10-28 08:17:30,false,2.45
Black Bean Burger,2,2022-10-28 13:40:46,true,7.29
Ice Cream Cup,2,2022-10-28 14:43:36,true,3.29
Bacon Burger,3,2022-10-28 10:23:01,false,7.89
Ice Cream Cup,3,2022-10-28 09:22:49,true,3.29
Fountain Drink,5,2022-10-28 17:31:43,true,2.45
Chicken Tenders,5,2022-10-28 03:24:47,false,7.49
Chicken Sandwich,4,2022-10-28 13:01:26,false,7.49
Ice Cream Cup,3,2022-10-28 00:21:03,false,3.29
Classic Hamburger,3,2022-10-28 13:50:13,true,6.49
Fountain Drink,1,2022-10-28 17:52:37,false,2.45
Chicken Tenders,1,2022-10-28 14:59:17,true,7.49
Chicken Sandwich,4,2022-10-28 23:25:19,true,7.49
Caesar Salad,2,2022-10-28 00:45:40,true,8.29
Fountain Drink,4,2022-10-28 12:06:39,false,2.45
Aggie Shakes,2,2022-10-28 17:08:23,true,4.49
Bacon Burger,5,2022-10-28 06:38:32,false,7.89
Bacon Burger,1,2022-10-28 03:30:23,true,7.89
Aggie Shakes,5,2022-10-28 14:46:53,false,4.49
Caesar Salad,1,2022-10-28 02:39:10,false,8.29
Bacon Burger,3,2022-10-28 19:46:12,true,7.89
Chicken Sandwich,2,2022-10-28 21:46:00,true,7.49
Caesar Salad,3,2022-10-28 18:56:13,false,8.29
Aggie Shakes,2,2022-10-28 17:10:06,false,4.49
Bacon Burger,3,2022-10-28 19:12:51,false,7.89
Bacon Burger,2,2022-10-28 15:54:03,true,7.89
Cookie Sandwich,2,2022-10-28 17:04:56,false,4.69
Cookie Sandwich,1,2022-10-28 17:33:39,true,4.69
Aggie Shakes,2,2022-10-28 13:51:58,true,4.49
Cookie Sandwich,5,2022-10-28 12:06:24,false,4.69
Classic Hamburger,1,2022-10-28 21:54:29,true,6.49
Caesar Salad,3,2022-10-28 00:36:04,true,8.29
Classic Hamburger,5,2022-10-28 17:39:49,true,6.49
Fountain Drink,4,2022-10-28 07:16:31,false,2.45
Aggie Shakes,3,2022-10-28 07:15:02,true,4.49
Caesar Salad,4,2022-10-28 01:57:47,true,8.29
Black Bean Burger,3,2022-10-28 22:38:47,true,7.29
French Fries,3,2022-10-28 12:45:11,true,2.69
Classic Hamburger,2,2022-10-28 14:54:30,false,6.49
Chicken Sandwich,2,2022-10-28 12:35:50,false,7.49
Chicken Tenders,3,2022-10-28 11:59:49,true,7.49
French Fries,5,2022-10-28 15:21:57,true,2.69
Bacon Burger,3,2022-10-28 00:49:57,true,7.89
French Fries,3,2022-10-28 10:32:54,false,2.69
Bacon Burger,3,2022-10-28 13:43:26,true,7.89
Classic Hamburger,5,2022-10-28 21:28:43,false,6.49
Chicken Tenders,3,2022-10-28 19:16:19,false,7.49
Chicken Sandwich,1,2022-10-28 15:32:47,true,7.49
French Fries,5,2022-10-28 23:30:22,true,2.69
